word,count,per_million
rnn-t,2931,124.4
degradation,2926,124.2
variations,2922,124.0
classifiers,2918,123.8
fast,2915,123.7
reading,2911,123.5
perceived,2903,123.2
kaldi,2899,123.0
dependent,2895,122.8
modelling,2892,122.7
fundamental,2889,122.6
tdnn,2881,122.3
mon-o-,2878,122.1
sum,2878,122.1
create,2874,122.0
nodes,2870,121.8
namely,2861,121.4
relationship,2860,121.4
ser,2854,121.1
fed,2850,120.9
cross,2848,120.9
select,2847,120.8
simulated,2832,120.2
direct,2824,119.8
distortion,2820,119.7
solution,2814,119.4
aim,2812,119.3
let,2810,119.2
always,2807,119.1
slu,2805,119.0
direction,2805,119.0
phonological,2803,118.9
science,2800,118.8
envelope,2800,118.8
peak,2791,118.4
wang,2790,118.4
properties,2781,118.0
variety,2781,118.0
multimodal,2780,118.0
sessions,2779,117.9
