file	keywords	title
ICASSP/2018/0006054.txt	spoken dialog	A JOINT MULTI-TASK LEARNING FRAMEWORK FOR SPOKEN LANGUAGE
ICASSP/2018/0006059.txt	spoken dialog	INCORPORATING ASR ERRORS WITH ATTENTION-BASED, JOINTLY TRAINED RNN
ICASSP/2018/0006064.txt	spoken dialog	TOWARDS SCALABLE INFORMATION-SEEKING MULTI-DOMAIN DIALOGUE
ICASSP/2018/0006069.txt	spoken dialog	BENCHMARKING UNCERTAINTY ESTIMATES WITH
ICASSP/2018/0006074.txt	spoken dialog	POLICY ADAPTATION FOR DEEP REINFORCEMENT LEARNING-BASED DIALOGUE
ICASSP/2018/0006084.txt	backchannel	LANGUAGE MODEL DOMAIN ADAPTATION VIA RECURRENT NEURAL NETWORKS
ICASSP/2018/0006099.txt	spoken dialog	RESCORING N-BEST SPEECH RECOGNITION LIST BASED ON ONE-ON-ONE
ICASSP/2018/0006144.txt	spoken dialog	ATTENTION-BASED DIALOG STATE TRACKING FOR CONVERSATIONAL
ICASSP/2018/0006159.txt	backchannel,turn-taking,spoken dialog	IMPROVING END-OF-TURN DETECTION IN SPOKEN DIALOGUES BY DETECTING
ICASSP/2018/0006169.txt	backchannel	NOVEL REALIZATIONS OF SPEECH-DRIVEN HEAD MOVEMENTS WITH GENERATIVE
ICASSP/2018/0006179.txt	spoken dialog	ROBUST SPOKEN LANGUAGE UNDERSTANDING WITH UNSUPERVISED ASR-ERROR
ICASSP/2018/0006214.txt	backchannel	AN END-TO-END APPROACH TO JOINT SOCIAL SIGNAL DETECTION
ICASSP/2018/0006573.txt	backchannel,turn-taking	AUDIO-VISUAL CONVERSATION ANALYSIS
ICASSP/2018/0006842.txt	turn-taking	DEPRESSION SPEAKS: AUTOMATIC DISCRIMINATION BETWEEN DEPRESSED AND
ICASSP/2018/0006976.txt	spoken dialog	AUGMENTING CLASSROOMS WITH AI FOR PERSONALIZED EDUCATION
ICASSP/2019/0002732.txt	spoken dialog	COMPUTATIONAL COGNITIVE ASSESSMENT: INVESTIGATING THE USE OF AN
